round,name,count,localCount,workload,estWorkload,npts,nfdpts
1,0,16,16,507372,-1,65536,1186
1,1,16,16,372337,-1,65536,551
1,2,16,16,340395,-1,65536,574
1,3,16,16,317271,-1,65536,963
1,4,16,16,295273,-1,65536,685
1,5,16,16,315245,-1,65536,825
1,6,16,16,338181,-1,65536,1271
1,7,16,16,333656,-1,65536,13238
1,8,16,16,433895,-1,65536,742
1,9,16,16,398645,-1,65536,545
1,10,16,16,390355,-1,65536,516
1,11,16,16,367690,-1,65536,564
1,12,16,16,361065,-1,65536,546
1,13,16,16,377552,-1,65536,496
1,14,16,16,387248,-1,65536,646
1,15,16,16,304187,-1,65536,8696
1,16,16,16,466802,-1,65536,765
1,17,16,16,404796,-1,65536,676
1,18,16,16,417926,-1,65536,597
1,19,16,16,389934,-1,65536,654
1,20,16,16,434398,-1,65536,485
1,21,16,16,416893,-1,65536,671
1,22,16,16,382455,-1,65536,626
1,23,16,16,293413,-1,65536,6834
1,24,16,16,523316,-1,65536,1656
1,25,16,16,417007,-1,65536,501
1,26,16,16,389722,-1,65536,587
1,27,16,16,346345,-1,65536,1401
1,28,16,16,322699,-1,65536,1185
1,29,16,16,329188,-1,65536,1465
1,30,16,16,339749,-1,65536,1634
1,31,16,16,297932,-1,65536,12511
2,0,85,28,4.00264e+06,729966,102634,4017
2,1,41,9,5.56165e+06,686752,36905,2843
2,2,43,15,8.09078e+06,717464,58004,4595
2,3,45,11,5.8739e+06,724709,44249,2610
2,4,93,27,1.17721e+06,742791,101973,11397
2,5,47,14,5.62354e+06,735170,59644,3579
2,6,36,15,7.76302e+06,722437,74581,38680
2,7,42,14,8.73617e+06,713635,54867,6769
2,8,49,13,6.44404e+06,715077,49630,3131
2,9,34,12,8.5648e+06,725184,49143,5284
2,10,44,13,8.12553e+06,720570,51688,3834
2,11,64,17,3.30549e+06,722095,64854,2266
2,12,66,19,3.09282e+06,726096,83046,2554
2,13,70,16,2.55298e+06,718939,62657,1158
2,14,50,23,5.41821e+06,712837,84603,16754
2,15,59,17,5.79543e+06,746760,64875,4325
2,16,56,13,4.05358e+06,735622,59256,1646
2,17,56,20,6.25827e+06,705978,72240,4904
2,18,45,13,7.3649e+06,716875,45407,3469
2,19,64,16,5.465e+06,742906,63791,2434
2,20,69,18,4.33305e+06,743138,64919,3468
2,21,80,18,1.68085e+06,755728,70714,984
2,22,45,15,4.38123e+06,731101,65868,12210
2,23,52,21,6.08102e+06,714545,83439,9367
2,24,24,7,8.9443e+06,749712,29905,4381
2,25,72,15,2.90052e+06,743386,60270,1654
2,26,52,11,2.4791e+06,695869,54161,804
2,27,88,18,1.33058e+06,709265,69418,2431
2,28,70,16,2.79808e+06,720896,58690,1463
2,29,45,13,7.16219e+06,717421,52546,5920
2,30,50,17,4.68725e+06,740403,68452,9871
2,31,76,18,4.38677e+06,730805,70431,1828
3,0,65,23,910727,3.32688e+06,59015,976
3,1,25,6,1.07071e+06,3.06148e+06,25019,2061
3,2,31,8,1.1463e+06,3.16829e+06,42508,12943
3,3,40,10,1.35975e+06,3.34827e+06,40187,397
3,4,153,69,1.98425e+06,3.06174e+06,240051,23094
3,5,75,21,1.76998e+06,3.09675e+06,76986,1454
3,6,19,5,1.57563e+06,3.07765e+06,16652,717
3,7,23,7,1.26223e+06,3.31285e+06,22507,2553
3,8,18,5,1.08875e+06,3.00055e+06,15124,715
3,9,33,8,1.21454e+06,3.33371e+06,32266,2163
3,10,20,7,1.43149e+06,3.16278e+06,26586,5821
3,11,72,21,1.35574e+06,3.2798e+06,76743,1125
3,12,66,19,1.43918e+06,3.24695e+06,84473,1691
3,13,51,10,1.4084e+06,3.17737e+06,35505,621
3,14,38,12,960559,3.15139e+06,59397,34771
3,15,74,18,1.15114e+06,3.10739e+06,68769,351
3,16,54,14,1.22937e+06,3.21359e+06,54721,320
3,17,30,10,552439,3.1467e+06,29524,1177
3,18,65,16,1.52579e+06,3.1122e+06,56615,327
3,19,46,14,991349,3.33551e+06,42632,275
3,20,27,9,686301,2.95472e+06,26267,818
3,21,58,16,1.76825e+06,3.23504e+06,65310,5726
3,22,50,16,1.09277e+06,3.06904e+06,50094,1643
3,23,42,14,611594,3.23602e+06,47454,2520
3,24,41,8,2.92145e+06,3.31013e+06,32931,1624
3,25,44,11,1.45929e+06,3.15878e+06,39379,1462
3,26,44,19,908746,3.25466e+06,60998,6794
3,27,147,44,2.01404e+06,3.22305e+06,152467,1974
3,28,63,18,1.40052e+06,3.2158e+06,61025,240
3,29,71,21,1.877e+06,3.12326e+06,80586,1973
3,30,63,15,1.08182e+06,3.15819e+06,46082,2312
3,31,72,18,1.21485e+06,2.85183e+06,84357,51
4,0,89,35,835563,2.17509e+06,79670,628
4,1,30,6,978982,2.05416e+06,24442,2229
4,2,22,6,999204,2.18093e+06,15220,341
4,3,41,9,1.13549e+06,2.47291e+06,29759,360
4,4,151,63,1.64154e+06,2.28965e+06,200289,24032
4,5,35,8,1.29407e+06,2.29764e+06,38425,14068
4,6,58,16,876094,2.26227e+06,49835,219
4,7,46,8,1.97319e+06,2.31363e+06,40144,983
